Vardas         Pavarde        Galutinis (Vid.)    
Vardas498      Pavarde498     3.71
Vardas499      Pavarde499     3.51
Vardas5        Pavarde5       5.44
Vardas50       Pavarde50      5.55
Vardas500      Pavarde500     7.48
Vardas501      Pavarde501     2.47
Vardas502      Pavarde502     3.69
Vardas503      Pavarde503     7.55
Vardas504      Pavarde504     7.12
Vardas505      Pavarde505     5.17
Vardas506      Pavarde506     7.53
Vardas507      Pavarde507     6.88
Vardas508      Pavarde508     3.77
Vardas509      Pavarde509     4.85
Vardas51       Pavarde51      7.63
Vardas510      Pavarde510     7.85
Vardas511      Pavarde511     4.33
Vardas512      Pavarde512     4.55
Vardas513      Pavarde513     7.74
Vardas514      Pavarde514     6.63
Vardas515      Pavarde515     3.16
Vardas516      Pavarde516     4.80
Vardas517      Pavarde517     7.97
Vardas518      Pavarde518     6.04
Vardas519      Pavarde519     2.68
Vardas52       Pavarde52      7.82
Vardas520      Pavarde520     2.92
Vardas521      Pavarde521     8.00
Vardas522      Pavarde522     4.93
Vardas523      Pavarde523     4.67
Vardas524      Pavarde524     2.89
Vardas525      Pavarde525     7.31
Vardas526      Pavarde526     6.40
Vardas527      Pavarde527     6.28
Vardas528      Pavarde528     4.61
Vardas529      Pavarde529     2.93
Vardas53       Pavarde53      4.28
Vardas530      Pavarde530     7.07
Vardas531      Pavarde531     7.61
Vardas532      Pavarde532     3.06
Vardas533      Pavarde533     3.18
Vardas534      Pavarde534     4.21
Vardas535      Pavarde535     4.65
Vardas536      Pavarde536     7.48
Vardas537      Pavarde537     3.59
Vardas538      Pavarde538     4.57
Vardas539      Pavarde539     3.63
Vardas54       Pavarde54      8.19
Vardas540      Pavarde540     3.67
Vardas541      Pavarde541     6.45
Vardas542      Pavarde542     5.15
Vardas543      Pavarde543     7.89
Vardas544      Pavarde544     4.78
Vardas545      Pavarde545     3.16
Vardas546      Pavarde546     4.28
Vardas547      Pavarde547     5.53
Vardas548      Pavarde548     7.81
Vardas549      Pavarde549     5.60
Vardas55       Pavarde55      2.89
Vardas550      Pavarde550     6.56
Vardas551      Pavarde551     6.66
Vardas552      Pavarde552     7.51
Vardas553      Pavarde553     8.11
Vardas554      Pavarde554     5.66
Vardas555      Pavarde555     7.27
Vardas556      Pavarde556     6.05
Vardas557      Pavarde557     3.52
Vardas558      Pavarde558     8.06
Vardas559      Pavarde559     5.21
Vardas56       Pavarde56      6.35
Vardas560      Pavarde560     5.39
Vardas561      Pavarde561     8.53
Vardas562      Pavarde562     5.58
Vardas563      Pavarde563     3.04
Vardas564      Pavarde564     7.17
Vardas565      Pavarde565     8.40
Vardas566      Pavarde566     6.99
Vardas567      Pavarde567     7.42
Vardas568      Pavarde568     2.79
Vardas569      Pavarde569     7.17
Vardas57       Pavarde57      3.28
Vardas570      Pavarde570     8.04
Vardas571      Pavarde571     4.07
Vardas572      Pavarde572     5.23
Vardas573      Pavarde573     3.53
Vardas574      Pavarde574     5.37
Vardas575      Pavarde575     4.33
Vardas576      Pavarde576     3.43
Vardas577      Pavarde577     3.38
Vardas578      Pavarde578     5.21
Vardas579      Pavarde579     3.54
Vardas58       Pavarde58      2.62
Vardas580      Pavarde580     7.84
Vardas581      Pavarde581     7.67
Vardas582      Pavarde582     3.84
Vardas583      Pavarde583     4.84
Vardas584      Pavarde584     3.33
Vardas585      Pavarde585     6.20
Vardas586      Pavarde586     7.87
Vardas587      Pavarde587     2.45
Vardas588      Pavarde588     5.29
Vardas589      Pavarde589     2.81
Vardas59       Pavarde59      2.77
Vardas590      Pavarde590     5.66
Vardas591      Pavarde591     6.82
Vardas592      Pavarde592     8.32
Vardas593      Pavarde593     3.22
Vardas594      Pavarde594     2.47
Vardas595      Pavarde595     5.66
Vardas596      Pavarde596     4.31
Vardas597      Pavarde597     8.46
Vardas598      Pavarde598     5.44
Vardas599      Pavarde599     7.03
Vardas6        Pavarde6       3.23
Vardas60       Pavarde60      2.79
Vardas600      Pavarde600     7.61
Vardas601      Pavarde601     3.05
Vardas602      Pavarde602     3.24
Vardas603      Pavarde603     8.55
Vardas604      Pavarde604     2.49
Vardas605      Pavarde605     6.76
Vardas606      Pavarde606     7.24
Vardas607      Pavarde607     4.09
Vardas608      Pavarde608     6.77
Vardas609      Pavarde609     7.94
Vardas61       Pavarde61      4.09
Vardas610      Pavarde610     7.94
Vardas611      Pavarde611     7.48
Vardas612      Pavarde612     7.03
Vardas613      Pavarde613     5.00
Vardas614      Pavarde614     4.64
Vardas615      Pavarde615     3.54
Vardas616      Pavarde616     6.45
Vardas617      Pavarde617     3.97
Vardas618      Pavarde618     2.56
Vardas619      Pavarde619     7.40
Vardas62       Pavarde62      3.22
Vardas620      Pavarde620     3.88
Vardas621      Pavarde621     8.15
Vardas622      Pavarde622     5.85
Vardas623      Pavarde623     5.64
Vardas624      Pavarde624     4.74
Vardas625      Pavarde625     2.57
Vardas626      Pavarde626     7.16
Vardas627      Pavarde627     6.43
Vardas628      Pavarde628     5.03
Vardas629      Pavarde629     6.63
Vardas63       Pavarde63      6.98
Vardas630      Pavarde630     7.63
Vardas631      Pavarde631     7.86
Vardas632      Pavarde632     2.73
Vardas633      Pavarde633     8.13
Vardas634      Pavarde634     5.48
Vardas635      Pavarde635     3.62
Vardas636      Pavarde636     6.93
Vardas637      Pavarde637     5.66
Vardas638      Pavarde638     3.59
Vardas639      Pavarde639     6.60
Vardas64       Pavarde64      3.03
Vardas640      Pavarde640     2.54
Vardas641      Pavarde641     2.45
Vardas642      Pavarde642     7.22
Vardas643      Pavarde643     3.91
Vardas644      Pavarde644     5.25
Vardas645      Pavarde645     4.64
Vardas646      Pavarde646     5.87
Vardas647      Pavarde647     7.07
Vardas648      Pavarde648     4.95
Vardas649      Pavarde649     2.91
Vardas65       Pavarde65      7.88
Vardas650      Pavarde650     8.01
Vardas651      Pavarde651     8.65
Vardas652      Pavarde652     7.48
Vardas653      Pavarde653     7.18
Vardas654      Pavarde654     6.78
Vardas655      Pavarde655     5.42
Vardas656      Pavarde656     5.93
Vardas657      Pavarde657     4.16
Vardas658      Pavarde658     4.86
Vardas659      Pavarde659     3.13
Vardas66       Pavarde66      6.39
Vardas660      Pavarde660     3.54
Vardas661      Pavarde661     4.36
Vardas662      Pavarde662     8.13
Vardas663      Pavarde663     5.40
Vardas664      Pavarde664     2.66
Vardas665      Pavarde665     8.08
Vardas666      Pavarde666     3.31
Vardas667      Pavarde667     3.35
Vardas668      Pavarde668     4.12
Vardas669      Pavarde669     8.21
Vardas67       Pavarde67      6.37
Vardas670      Pavarde670     4.78
Vardas671      Pavarde671     3.49
Vardas672      Pavarde672     7.42
Vardas673      Pavarde673     7.82
Vardas674      Pavarde674     5.54
Vardas675      Pavarde675     6.71
Vardas676      Pavarde676     4.28
Vardas677      Pavarde677     3.66
Vardas678      Pavarde678     5.05
Vardas679      Pavarde679     3.27
Vardas68       Pavarde68      4.68
Vardas680      Pavarde680     3.19
Vardas681      Pavarde681     4.20
Vardas682      Pavarde682     2.85
Vardas683      Pavarde683     8.15
Vardas684      Pavarde684     7.37
Vardas685      Pavarde685     6.97
Vardas686      Pavarde686     3.91
Vardas687      Pavarde687     6.83
Vardas688      Pavarde688     4.78
Vardas689      Pavarde689     3.97
Vardas69       Pavarde69      5.91
Vardas690      Pavarde690     6.65
Vardas691      Pavarde691     4.51
Vardas692      Pavarde692     7.79
Vardas693      Pavarde693     5.73
Vardas694      Pavarde694     7.84
Vardas695      Pavarde695     5.08
Vardas696      Pavarde696     7.09
Vardas697      Pavarde697     4.22
Vardas698      Pavarde698     3.28
Vardas699      Pavarde699     6.76
Vardas7        Pavarde7       3.66
Vardas70       Pavarde70      3.16
Vardas700      Pavarde700     3.58
Vardas701      Pavarde701     5.47
Vardas702      Pavarde702     3.82
Vardas703      Pavarde703     7.12
Vardas704      Pavarde704     6.77
Vardas705      Pavarde705     5.08
Vardas706      Pavarde706     5.44
Vardas707      Pavarde707     7.57
Vardas708      Pavarde708     3.54
Vardas709      Pavarde709     4.69
Vardas71       Pavarde71      3.22
Vardas710      Pavarde710     8.13
Vardas711      Pavarde711     6.78
Vardas712      Pavarde712     2.37
Vardas713      Pavarde713     2.43
Vardas714      Pavarde714     2.52
Vardas715      Pavarde715     4.42
Vardas716      Pavarde716     7.74
Vardas717      Pavarde717     6.92
Vardas718      Pavarde718     8.13
Vardas719      Pavarde719     3.06
Vardas72       Pavarde72      4.57
Vardas720      Pavarde720     5.64
Vardas721      Pavarde721     4.87
Vardas722      Pavarde722     7.05
Vardas723      Pavarde723     2.77
Vardas724      Pavarde724     7.98
Vardas725      Pavarde725     5.25
Vardas726      Pavarde726     7.67
Vardas727      Pavarde727     6.05
Vardas728      Pavarde728     5.98
Vardas729      Pavarde729     3.86
Vardas73       Pavarde73      4.60
Vardas730      Pavarde730     6.76
Vardas731      Pavarde731     2.76
Vardas732      Pavarde732     7.67
Vardas733      Pavarde733     7.04
Vardas734      Pavarde734     5.43
Vardas735      Pavarde735     3.75
Vardas736      Pavarde736     4.14
Vardas737      Pavarde737     2.33
Vardas738      Pavarde738     7.40
Vardas739      Pavarde739     4.55
Vardas74       Pavarde74      2.96
Vardas740      Pavarde740     8.38
Vardas741      Pavarde741     4.74
Vardas742      Pavarde742     7.03
Vardas743      Pavarde743     7.22
Vardas744      Pavarde744     2.92
Vardas745      Pavarde745     4.05
Vardas746      Pavarde746     4.49
Vardas747      Pavarde747     7.33
Vardas748      Pavarde748     4.57
Vardas749      Pavarde749     7.98
Vardas75       Pavarde75      7.72
Vardas750      Pavarde750     7.46
Vardas751      Pavarde751     6.12
Vardas752      Pavarde752     5.83
Vardas753      Pavarde753     6.41
Vardas754      Pavarde754     6.31
Vardas755      Pavarde755     4.35
Vardas756      Pavarde756     7.17
Vardas757      Pavarde757     8.36
Vardas758      Pavarde758     4.92
Vardas759      Pavarde759     7.46
Vardas76       Pavarde76      5.28
Vardas760      Pavarde760     7.48
Vardas761      Pavarde761     7.09
Vardas762      Pavarde762     6.26
Vardas763      Pavarde763     5.98
Vardas764      Pavarde764     8.17
Vardas765      Pavarde765     5.08
Vardas766      Pavarde766     4.03
Vardas767      Pavarde767     3.39
Vardas768      Pavarde768     6.02
Vardas769      Pavarde769     5.77
Vardas77       Pavarde77      6.41
Vardas770      Pavarde770     6.44
Vardas771      Pavarde771     4.18
Vardas772      Pavarde772     6.02
Vardas773      Pavarde773     8.04
Vardas774      Pavarde774     3.33
Vardas775      Pavarde775     3.17
Vardas776      Pavarde776     4.07
Vardas777      Pavarde777     5.98
Vardas778      Pavarde778     3.82
Vardas779      Pavarde779     8.55
Vardas78       Pavarde78      4.75
Vardas780      Pavarde780     2.79
Vardas781      Pavarde781     7.89
Vardas782      Pavarde782     4.01
Vardas783      Pavarde783     5.64
Vardas784      Pavarde784     3.17
Vardas785      Pavarde785     3.78
Vardas786      Pavarde786     6.66
Vardas787      Pavarde787     3.83
Vardas788      Pavarde788     4.35
Vardas789      Pavarde789     5.49
Vardas79       Pavarde79      2.87
Vardas790      Pavarde790     4.85
Vardas791      Pavarde791     5.26
Vardas792      Pavarde792     6.74
Vardas793      Pavarde793     8.11
Vardas794      Pavarde794     6.22
Vardas795      Pavarde795     6.77
Vardas796      Pavarde796     7.26
Vardas797      Pavarde797     4.96
Vardas798      Pavarde798     4.53
Vardas799      Pavarde799     3.06
Vardas8        Pavarde8       6.71
Vardas80       Pavarde80      6.31
Vardas800      Pavarde800     3.60
Vardas801      Pavarde801     6.17
Vardas802      Pavarde802     2.91
Vardas803      Pavarde803     3.73
Vardas804      Pavarde804     4.13
Vardas805      Pavarde805     5.81
Vardas806      Pavarde806     5.01
Vardas807      Pavarde807     5.68
Vardas808      Pavarde808     3.22
Vardas809      Pavarde809     4.05
Vardas81       Pavarde81      5.11
Vardas810      Pavarde810     7.22
Vardas811      Pavarde811     8.25
Vardas812      Pavarde812     7.18
Vardas813      Pavarde813     8.61
Vardas814      Pavarde814     6.83
Vardas815      Pavarde815     4.95
Vardas816      Pavarde816     5.15
Vardas817      Pavarde817     7.73
Vardas818      Pavarde818     5.39
Vardas819      Pavarde819     5.17
Vardas82       Pavarde82      3.71
Vardas820      Pavarde820     7.18
Vardas821      Pavarde821     7.68
Vardas822      Pavarde822     5.32
Vardas823      Pavarde823     7.84
Vardas824      Pavarde824     8.86
Vardas825      Pavarde825     3.58
Vardas826      Pavarde826     7.74
Vardas827      Pavarde827     4.86
Vardas828      Pavarde828     3.27
Vardas829      Pavarde829     7.35
Vardas83       Pavarde83      7.52
Vardas830      Pavarde830     5.08
Vardas831      Pavarde831     6.79
Vardas832      Pavarde832     5.75
Vardas833      Pavarde833     6.60
Vardas834      Pavarde834     7.53
Vardas835      Pavarde835     7.16
Vardas836      Pavarde836     6.24
